Process 3 arrived at 0ms
PID: 3 CORE 100 0x7fffd2bf9e80
PID: 3 SSD 0 0x7fffd2bf9e80
PID: 3 CORE 80 0x7fffd2bf9e80
PID: 3 SSD 0 0x7fffd2bf9e80
PID: 3 CORE 40 0x7fffd2bf9e80
PID: 3 SSD 0 0x7fffd2bf9e80
PID: 3 CORE 80 0x7fffd2bf9e80
PID: 3 SSD 0 0x7fffd2bf9e80
PID: 3 CORE 40 0x7fffd2bf9e80
PID: 3 SSD 0 0x7fffd2bf9e80
PID: 3 CORE 90 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 100 0x7fffd2bf9e80
PID: 3 TTY 5000 0x7fffd2bf9e80
PID: 3 CORE 20 0x7fffd2bf9e80
PID: 3 TTY 5000 0x7fffd2bf9e80
PID: 3 CORE 80 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 30 0x7fffd2bf9e80
PID: 3 SSD 0 0x7fffd2bf9e80
PID: 3 CORE 90 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 30 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 20 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 30 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 20 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 30 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 20 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 30 0x7fffd2bf9e80
PID: 3 SSD 1 0x7fffd2bf9e80
PID: 3 CORE 20 0x7fffd2bf9e80
Process 7 arrived at 5ms
PID: 7 CORE 120 0x7fffd2bfaef0
PID: 7 SSD 0 0x7fffd2bfaef0
PID: 7 CORE 60 0x7fffd2bfaef0
PID: 7 SSD 0 0x7fffd2bfaef0
PID: 7 CORE 20 0x7fffd2bfaef0
PID: 7 SSD 0 0x7fffd2bfaef0
PID: 7 CORE 30 0x7fffd2bfaef0
Process 11 arrived at 13ms
PID: 11 CORE 120 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 60 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 20 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 60 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 20 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 40 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 40 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 90 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 40 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 90 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 100 0x7fffd2bfaf50
PID: 11 TTY 5000 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 80 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 40 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 90 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 20 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 0 0x7fffd2bfaf50
PID: 11 CORE 90 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 20 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 20 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 30 0x7fffd2bfaf50
PID: 11 SSD 1 0x7fffd2bfaf50
PID: 11 CORE 20 0x7fffd2bfaf50
